Couldn't generate AcceptsMarketing: Syntax Error: Expected $, found )
Couldn't generate Addresses: Syntax Error: Expected Name, found }
Couldn't generate CreatedAt: Syntax Error: Expected $, found )
Couldn't generate DefaultAddress: Syntax Error: Expected $, found )
Couldn't generate DisplayName: Syntax Error: Expected $, found )
Couldn't generate Email: Syntax Error: Expected $, found )
Couldn't generate FirstName: Syntax Error: Expected $, found )
Couldn't generate Id: Syntax Error: Expected $, found )
Couldn't generate LastName: Syntax Error: Expected $, found )
Couldn't generate Orders: Syntax Error: Expected Name, found }
Couldn't generate Phone: Syntax Error: Expected $, found )
Couldn't generate UpdatedAt: Syntax Error: Expected $, found )
Couldn't generate Articles: Syntax Error: Expected Name, found }
Couldn't generate Blogs: Syntax Error: Expected Name, found }
Couldn't generate CardVaultUrl: Syntax Error: Expected $, found )
Couldn't generate Collections: Syntax Error: Expected Name, found }
Couldn't generate CurrencyCode: Syntax Error: Expected $, found )
Couldn't generate Description: Syntax Error: Expected $, found )
Couldn't generate MoneyFormat: Syntax Error: Expected $, found )
Couldn't generate Name: Syntax Error: Expected $, found )
Couldn't generate PaymentSettings: Syntax Error: Expected $, found )
Couldn't generate PrimaryDomain: Syntax Error: Expected $, found )
Couldn't generate PrivacyPolicy: Syntax Error: Expected $, found )
Couldn't generate ProductTypes: Syntax Error: Expected Name, found }
Couldn't generate Products: Syntax Error: Expected Name, found }
Couldn't generate RefundPolicy: Syntax Error: Expected $, found )
Couldn't generate ShipsToCountries: Syntax Error: Expected $, found )
Couldn't generate ShopifyPaymentsAccountId: Syntax Error: Expected $, found )
Couldn't generate TermsOfService: Syntax Error: Expected $, found )
